Linha;Albuns de estudio;Extended plays;Albuns de remix;Compilacoes;Lancamento;Ano;Vendas;Melhores posi‡oes ;
1;My World 2.0;;;;23 de marco de 2010;2010;20841000;Australia, Canada, Brasil, EUA, Nova Zelandia ;
2;Under the Mistletoe;;;;1 de novembro de 2011;2011;4283000;Canada, Brasil, EUA;
3;Believe;;;;19 de junho de 2012;2012;9557000;Canada, Austria, Dinamarca, EUA, Holanda, Reino Unido;
4;Purpose;;;;13 de novembro de 2015;2015;17514000;Canada, Austria, Brasil, Dinamarca, EUA, Holanda, Nova Zelandia;
5;Changes;;;;14 de fevereiro de 2020;2020;2752000;Canada, EUA, Holanda, Reino Unido;
6;Justice;;;;19 de marco de 2021;2021;1200000;Canada, Austria, Dinamarca, EUA, Holanda, Nova Zelandia;
7;;My World;;;17 de novembro de 2009;2009;1080000;Canada, Irlanda;
8;;Freedom;;; 4 de abril de 2021;2021;sem registro;Nao teve uma boa posicao;
9;;;My Worlds Acoustic;;26 de novembro de 2010;2010;1020000;Nao teve uma boa posicao;
10;;;Never Say Never: The Remixes;;14 de fevereiro de 2011;2011;1460000;Brasil, EUA;
11;;;Believe Acoustic;;29 de janeiro de 2013;2013;970000;Canada, Brasil, EUA;
12;;;;My Worlds: The Collection;19 de novembro de 2010;2010;210000;Nao teve uma boa posicao;
13;;;;Journals;23 de dezembro de 2013;2013;195000;Nao teve uma boa posicao;
